Show Number, Air Date, Round, Category, Value, Question, Answer
3737,2000-11-28,Jeopardy!,WHAT FOODS THESE MORSELS BE,$300,This festive holiday drink can be enjoyed all year: (topped with nutmeg),Eggnog
4510,2004-03-26,Double Jeopardy!,FOOD & DRINK BRANDS,$2000,The name of this brand of hard candies was meant to suggest a friendly Western company,Jolly Rancher
4722,2005-03-01,Jeopardy!,"I ""AM""",$400,Horrors!  It's a 5-letter term for friendliness,amity
5989,2010-09-30,Double Jeopardy!,THE LAW,$400,An application to a judge to obtain an order; a lawyer might make one to dismiss or to suppress,a motion
3769,2001-01-11,Double Jeopardy!,IN THE NAVY,$400,In 1972 the U.S. Navy promoted its first woman to this rank,Admiral
3245,1998-10-16,Double Jeopardy!,HISTORIC DOCUMENTS,$200,Much of this man's 1796 farewell address was Alexander Hamilton's work,George Washington
6108,2011-03-16,Double Jeopardy!,PO BOYS,$1200,"After featuring his bare chest & flowing locks on the covers of romance novels, this Milan man wrote a few too",Fabio
4493,2004-03-03,Jeopardy!,RHYME TIME,$200,$1.99 for a box of Uncle Ben's,rice price
3627,2000-05-16,Double Jeopardy!,STATE BORDERS,$1000,The Connecticut River forms the border of these 2 New England states north of Connecticut,New Hampshire & Vermont
1657,1991-11-12,Jeopardy!,BOXING,$400,In 1915 Jess Willard took the heavyweight title from this first black man to hold it,(Jack) Johnson
1200,1989-11-17,Double Jeopardy!,PROVERBS,$600,Over 400 years B.C. Thucydides wrote history tends to do this,"""Repeat Itself"""
2039,1993-06-17,Jeopardy!,MOVIE QUOTES,$200,"Orson Welles film in which you'd hear the line ""I think it would be fun to run a newspaper""",Citizen Kane
4502,2004-03-16,Jeopardy!,UTTER NONSENSE,$1000,Helium or this can be used to raise a balloon from which a gondola is suspended,hot air
5796,2009-11-23,Double Jeopardy!,ENDS WITH 3 VOWELS,$1600,Emmy-winning actor Bridges,Beau
5094,2006-11-02,Double Jeopardy!,I'VE TRAVELED EACH & EVERY HIGHWAY,$2000,"Domine Quo Vadis Church stands on this road, where tradition says Peter asked Jesus, ""Lord, where are you going?""",the Appian Way
4802,2005-06-21,Jeopardy!,"WHAT'S UP, DUCK?",$1000,This controversial social drama by Henrik Ibsen premiered in Norway in 1885,The Wild Duck
5287,2007-09-11,Jeopardy!,DIRTY ROTTEN SCOUNDRELS,$200,"This woman with a reputation as a hard-drinking, foul-mouthed ruffian claims she married Wild Bill Hickok",Calamity Jane
6112,2011-03-22,Jeopardy!,A NUMBER LESS THAN 10,$400,"In cricket scoring, it's a duck's egg",0
5132,2006-12-26,Double Jeopardy!,"A BOY NAMED SUE, ET AL.",$800,"This actress has played a vice president, a chief justice, Homer Simpson's mom & Cruella de Vil",Glenn Close
3177,1998-05-26,Jeopardy!,DIRECT TO VIDEO,$100,"You can order a copy of this fitness guru's ""Sweatin' To The Oldies"" from his web site",Richard Simmons
3043,1997-11-19,Jeopardy!,POLITICAL QUOTES,$200,"Louisiana ""Kingfish"" who reportedly said, ""The time has come for all good men to rise above principle""",Huey Long
5250,2007-06-08,Jeopardy!,HYPO-POURRI,$200,"One who fears that he is suffering from a major undetected disease, despite medical evidence to the contrary",a hypochondriac
4297,2003-04-15,Jeopardy!,TAKES 2 TO TONGA,$800,"Like its longtime benefactor the U.K., Tonga's political system is a hereditary, constitutional one of these",a monarchy
5649,2009-03-12,Double Jeopardy!,LANDLOCKED UP,$400,One of the 2 landlocked countries that border the Czech Republic,(1 of) Austria (or Slovakia)
308,1985-11-13,Double Jeopardy!,BRITISH HISTORY,$1000,"Though it sounds like a grim volume, it's just William the Conqueror's survey of the British kingdom",The Domesday Book
4986,2006-04-24,Jeopardy!,AROUND THE HORN,$600,This strait that separates the Pacific & Atlantic oceans is named for a Portuguese guy,Magellan
4755,2005-04-15,Jeopardy!,"""R"" TOWN",$200,"If you're tall & tan & young & lovely, head to Ipanema Beach in this city",Rio de Janeiro
3147,1998-04-14,Double Jeopardy!,MIDDLE NAMES,$200,Middle name of baseball pitcher Lynn Ryan Jr.,Nolan
3766,2001-01-08,Jeopardy!,CAPITAL CITY BIRTHPLACES,$400,Simon Bolivar,Caracas
3156,1998-04-27,Jeopardy!,WHERE YA FROM?,$400,Lucy Lawless,New Zealand
4178,2002-10-30,Double Jeopardy!,GUITARIST'S LINGO,$400,The Byrds' Roger McGuinn is perhaps the most famous player of the Rickenbacker guitar with this many strings,12
5116,2006-12-04,Double Jeopardy!,BEASTLY LIT,$1600,"A mystery by Donna Andrews: ""We'll Always Have"" these birds",Parrots
5238,2007-05-23,Double Jeopardy!,AMERICAN POLITICAL IDOL,"$1,500","The Whiskey Ring scandal & William Belknap, his Sec. of War, impeached? No wonder this Republican didn't get a third term!",Ulysses Grant
5709,2009-06-04,Double Jeopardy!,THE CIVIL WAR,$1200,"Though designed to hold 10,000 men, this notorious prison once held more than 32,000",Andersonville
5555,2008-10-31,Jeopardy!,FAMOUS COUNTS,$200,This literary count was based in part on a Romanian prince named Vlad the Impaler,Count Dracula
4944,2006-02-23,Jeopardy!,WHAT'S ON YOUR HEAD?,$1000,"This hat named for its ""north-of-the-border"" wearers is worn in the U.S. by state policemen & forest rangers",a Mountie hat
5684,2009-04-30,Jeopardy!,YOU'RE A JEOPARDY! FAN IF…,$200,"A citizenship test asks for these 3 enemy countries of the U.S. in WWII & all you hear is ""Da-da-da-da…""","Germany, Italy & Japan"
1851,1992-09-28,Jeopardy!,FASHION HISTORY,$300,"When a Roman youth reached manhood, he began to wear a toga pura of this color",white
3092,1998-01-27,Jeopardy!,"""MISS""CELLANY",$200,You don't have to be a rocket scientist to know it's the command center for a manned space flight,Mission Control
5650,2009-03-13,Jeopardy!,DESCRIBING THE TV SHOW,$400,"Gary Coleman co-stars, at home with the Drummonds, what'chu talkin' 'bout, contestants?",Diff'rent Strokes
4909,2006-01-05,Double Jeopardy!,HAIL TO THE CHIEF,$1200,"In 1900 he ran on the campaign slogan ""Four years more of the full dinner pail""",McKinley
5653,2009-03-18,Jeopardy!,EXPLORERS & EXPLORATION,$200,"Richard Burton claimed John Speke didn't follow this river in full from its source, so he was a big faker",the Nile
3881,2001-06-18,Jeopardy!,MODES OF TRANSPORT,$100,Goodyear's The Eagle,Blimp
4863,2005-11-02,Jeopardy!,THE HOME SPA,$200,Cleopatra is said to have used rejuvenating products from this saline body of water in which the Jordan ends,the Dead Sea
3833,2001-04-11,Double Jeopardy!,OLD RADIO ADVENTURES,$1000,"""The Adventures Of"" this ""Farewell, My Lovely"" detective debuted in 1947, long before the Mitchum film",Philip Marlowe
5778,2009-10-28,Jeopardy!,MUSIC'S MISSING PERSONS,$800,"Van Halen: ""____'s Cryin' """,Jamie
5618,2009-01-28,Jeopardy!,DON'T SAY      MOBY DICK,$200,In 1851 Harriet Beecher Stowe began serializing this,Uncle Tom's Cabin
5011,2006-05-29,Double Jeopardy!,"IT'S CANADA, EH",$2000,"The name of this peninsula in S.E. Quebec might come from a Mi'kmaq Indian word meaning ""land's end""",Gaspé
5200,2007-03-30,Double Jeopardy!,"OF ""STAR""s",$800,Luminous celestial object in Matthew that led the Magi to the Baby Jesus,the Star of Bethlehem
1214,1989-12-07,Double Jeopardy!,VICE-PRESIDENTS,$1000,Harry Truman was exceptionally pleased with the performance of this vice president,Alben Barkley
5393,2008-02-06,Double Jeopardy!,LET'S SEE WHAT'S OVER THERE,$1600,This Jesuit missionary explored the Mississippi with Louis Joliet,Marquette
5764,2009-10-08,Jeopardy!,WE'VE GOT YOUR NUMBER,$200,"During WWII, the total number of stars on the U.S. flag",48
4338,2003-06-11,Jeopardy!,LITERARY QUOTES,$200,"About the respectability of whaling, this 1851 novel claims, ""Whaling is imperial!""","""Moby Dick"""
5036,2006-07-03,Final Jeopardy!,OSCAR-WINNING SINGERS,None,2 of the 4 people who've had a Billboard No. 1 pop album & also won a regular acting Oscar,"(2 of) Bing Crosby, Frank Sinatra, Barbra Streisand, & Jamie Foxx"
5788,2009-11-11,Double Jeopardy!,A DAY WITH GRANDMA,$1200,"It was awkward when Grammy asked about your sister's this--you thought she meant archery, but she meant a boyfriend",a beau
3242,1998-10-13,Double Jeopardy!,PEOPLE WITH MUPPET NAMES,$200,Elmo Lincoln was the 1st to play this film character as an adult; he was later played by Weissmuller,Tarzan
1428,1990-11-14,Jeopardy!,SCIENTISTS,$100,Former German scientist who became director of the Geo. C. Marshall Space Flight Center in 1960,(Wernher) Von Braun
6267,2011-12-13,Jeopardy!,LONG LIVE THE COMPANY,$200,"This company started by selling starch, soap & candles in 1806; it merged with Palmolive in 1928",Colgate
5483,2008-06-11,Double Jeopardy!,WOMEN AUTHORS,$2000,"2008's ""The Purrfect Murder"" is the latest in a series of mysteries by this activist & her cat Sneaky Pie",Rita Mae Brown
4368,2003-09-10,Jeopardy!,HOME BOYS,$600,Gophers,Minnesota
4187,2002-11-12,Double Jeopardy!,FOOD IN FRENCH,$800,"(Sarah of the Clue Crew reports from Paris)  Oddly, in French, french fries aren't called french fries, but these",pommes frites
