Category,Value,Question,Answer,class
"""MISS""CELLANY",$200,You don't have to be a rocket scientist to know it's the command center for a manned space flight,Mission Control,Non-Fiction
DESCRIBING THE TV SHOW,$400,"Gary Coleman co-stars, at home with the Drummonds, what'chu talkin' 'bout, contestants?",Diff'rent Strokes,Fiction
HAIL TO THE CHIEF,$1200,"In 1900 he ran on the campaign slogan ""Four years more of the full dinner pail""",McKinley,Non-Fiction
EXPLORERS & EXPLORATION,$200,"Richard Burton claimed John Speke didn't follow this river in full from its source, so he was a big faker",the Nile,Non-Fiction
MODES OF TRANSPORT,$100,Goodyear's The Eagle,Blimp,Non-Fiction
THE HOME SPA,$200,Cleopatra is said to have used rejuvenating products from this saline body of water in which the Jordan ends,the Dead Sea,Non-Fiction
OLD RADIO ADVENTURES,$1000,"""The Adventures Of"" this ""Farewell, My Lovely"" detective debuted in 1947, long before the Mitchum film",Philip Marlowe,Non-Fiction
MUSIC'S MISSING PERSONS,$800,"Van Halen: ""____'s Cryin' """,Jamie,Fiction
DON'T SAY      MOBY DICK,$200,In 1851 Harriet Beecher Stowe began serializing this,Uncle Tom's Cabin,Fiction
"IT'S CANADA, EH",$2000,"The name of this peninsula in S.E. Quebec might come from a Mi'kmaq Indian word meaning ""land's end""",Gaspé,Non-Fiction
"OF ""STAR""s",$800,Luminous celestial object in Matthew that led the Magi to the Baby Jesus,the Star of Bethlehem,Non-Fiction
VICE-PRESIDENTS,$1000,Harry Truman was exceptionally pleased with the performance of this vice president,Alben Barkley,Non-Fiction
LET'S SEE WHAT'S OVER THERE,$1600,This Jesuit missionary explored the Mississippi with Louis Joliet,Marquette,Non-Fiction
WE'VE GOT YOUR NUMBER,$200,"During WWII, the total number of stars on the U.S. flag",48,Non-Fiction
LITERARY QUOTES,$200,"About the respectability of whaling, this 1851 novel claims, ""Whaling is imperial!""","""Moby Dick""",Fiction
OSCAR-WINNING SINGERS,None,2 of the 4 people who've had a Billboard No. 1 pop album & also won a regular acting Oscar,"(2 of) Bing Crosby, Frank Sinatra, Barbra Streisand, & Jamie Foxx",Non-Fiction
A DAY WITH GRANDMA,$1200,"It was awkward when Grammy asked about your sister's this--you thought she meant archery, but she meant a boyfriend",a beau,Non-Fiction
PEOPLE WITH MUPPET NAMES,$200,Elmo Lincoln was the 1st to play this film character as an adult; he was later played by Weissmuller,Tarzan,Non-Fiction
SCIENTISTS,$100,Former German scientist who became director of the Geo. C. Marshall Space Flight Center in 1960,(Wernher) Von Braun,Science/Geography
LONG LIVE THE COMPANY,$200,"This company started by selling starch, soap & candles in 1806; it merged with Palmolive in 1928",Colgate,Non-Fiction
WOMEN AUTHORS,$2000,"2008's ""The Purrfect Murder"" is the latest in a series of mysteries by this activist & her cat Sneaky Pie",Rita Mae Brown,Fiction
HOME BOYS,$600,Gophers,Minnesota,Sports
FOOD IN FRENCH,$800,"(Sarah of the Clue Crew reports from Paris)  Oddly, in French, french fries aren't called french fries, but these",pommes frites,Non-Fiction
"STARTS & ENDS WITH ""A""",$200,"In this province, Medicine Hat, as well as Calgary, hold annual stampedes",Alberta,Non-Fiction
"""HY"" THERE",$600,The handsome young Greek god of marriage,Hymen,Fiction
MAGAZINES,$1000,Flashy journal of cyberspace that shares its name with a biography of John Belushi,Wired,Non-Fiction
MR. POTATO HEAD,$200,"Mr. Potato Head's ""Picnic Pals"" of the '60s included Mr. Ketchup Head & this other condiment character",Mr. Mustard Head,Fiction
"CROSSWORD CLUES ""B""",$1600,To invite or summon (6),beckon,Non-Fiction
THE OLD WEST,$300,"In Old West slang, someone in ""these"" with another was in partnership with him",cahoots,Non-Fiction
THE 3 R's,$300,The Romans gave us this letter by adding a small stroke to the letter C,G,Non-Fiction
EARTH SCIENCE,"$1,000","Today, it lies near Ellef Ringnes Island in northern Canada",North Magnetic Pole,Science/Geography
OOPS!,$500,"American Family Publishers' letter to a Florida church said this addressee was in the running for $11,000,000",God,Non-Fiction
"""BON"" APPETIT",$1000,"<a href=""http://www.j-archive.com/media/2010-10-29_J_15.jpg"" target=""_blank"">This</a> distinctive predator is seen <a href=""http://www.j-archive.com/media/2010-10-29_J_15a.jpg"" target=""_blank"">here</a>.",bonnethead shark,Science/Geography
"""J"" WALKING",$2000,Christian monk & translator Eusebius Hieronymus is better known as this saint,Saint Jerome,Non-Fiction
"""SAN""",$1600,"From the Latin for ""holy"", it means feigning great righteousness & piety",sanctimonious,Non-Fiction
"THE ""WEST"" WING",$100,In 1863 it was admitted to the Union as the 35th state,West Virginia,Non-Fiction
SONGS,$1000,The title of this wistful Beach Boys song is also the title of Brian Wilson's autobiography,"""Wouldn't It Be Nice?""",Fiction
"THE SOUND OF ""MUSIC""",$200,"10 kids, 9 seats, 1 piano & you're ready to play this",Musical chairs,Sports
POTENT POTABLES,$400,A 7&7 mixes 7Up & this,Seagram's 7,Non-Fiction
"""A"" BEFORE ""E""",$600,"For its 75th anniversary, it is offering flights between Dublin & Boston for as low as 199 euros",Aer Lingus,Non-Fiction
TRUE & FALSE,$400,The true morel variety of these is okay to eat; the false morels are poisonous,mushrooms,Science/Geography
"A SHAKESPEARE PLAY, FOR OPENERS",$200,"This play opens on the battlements of the castle at Elsinore as Barnardo asks, ""who's there?""",Hamlet,Fiction
"WHAT'S ""UP"" DOC",$100,Direction you want to be when meeting a skunk,upwind,Non-Fiction
LET'S GET SMALL,$800,"Preparing objects for a microscope may include sectioning & this, the dyeing of the object for study",staining,Science/Geography
THE HERO WITH...,$800,The Golden Apples of the Hesperides,Hercules,Fiction
POETRY IN MOTION,$1600,"""'Forward the light brigade!' Was there a man dismay'd?  Not tho' the soldier knew some one had blunder'd""",Tennyson,Fiction
DAISY CRAZY,$400,It's used as the printing element in certain electric typewriters & older computer printers,a daisy wheel,Non-Fiction
SUPER,$2000,"A scene at the end of ""Iron Man"" finds Samuel L. Jackson as this one-eyed S.H.I.E.L.D. director",Nick Fury,Fiction
COUNTRIES BY CAPITAL,$200,South of the border: Santiago,Chile,Non-Fiction
U.S. COINS,$800,"It should be easy to ""home"" in on this longest of the 10 words on the back of a current nickel",Monticello,Non-Fiction
THE HEAVENS,$2000,In 1664 Robert Hooke discovered this still largely mysterious feature of Jupiter,the Great Red Spot,Science/Geography
TOUGH TV,$400,"Her 3 regular roles on TV have been Zena Sherman, Carla Tortelli & Pearl Caraldo",Rhea Perlman,Non-Fiction
RELIGIOUS LEADERS,$100,The Rev. Heber Jentzch heads this L. Ron Hubbard religion,Scientology,Non-Fiction
AT THE MOVIES,$2000,"This director of 1931's ""Frankenstein"" was the subject of the film ""Gods and Monsters""",James Whale,Non-Fiction
TAKE-OFFS,$800,"""Molvania: A Land Untouched by Modern Dentistry"" is a satirical type of this guide",a travel guide,Non-Fiction
IT'S IN YOUR MIND,$1000,I love Dr. Freud for using this term for strong feelings of attachment by a patient toward an analyst,transference,Science/Geography
SKIN DEEP,$300,The little sections of dead epidermis around your fingernails,Cuticles,Science/Geography
TIME'S MAN OF THE YEAR,$400,Pope John XXIII was Man of the Year for 1962; this pope was Man of the Year for 1994,Pope John Paul II,Non-Fiction
STEPHEN KING NOVEL PLOTS,$400,Young Charlie McGee inherits pyrokinetic powers from her parents & the feds want to recapture all of them,Firestarter,Fiction
DOGS OF WAR,$1000,The dog Soter warned the citizens of an attack in this ancient Greek port city founded by Dorians,Corinth,Non-Fiction
MUSICMAKERS,$1000,"In 1972 he ""and Mrs. Jones"" had a ""thing going on""",Billy Paul,Non-Fiction
PORT CITIES,None,It was Russia's third-largest city until it became the capital of an independent republic in 1918,"Riga, Latvia",Non-Fiction
"CROSSWORD CLUES ""F""",$400,Morris the Cat's adjective              (7),Finicky,Fiction
TRANSPORTATION,$300,"One of America's busiest airports, its 3-letter designation is ORD",O'Hare Airport (Chicago),Non-Fiction
"IT'S A ""SNAP""",$1000,These aggressive freshwater reptiles can reach 30 inches across & 200 pounds,snapping turtle,Science/Geography
CONGRESSIONAL BEFORE & AFTER,$800,The North Carolina senator grown in Hawaii by one company since 1851,Elizabeth Dole Pineapple,Non-Fiction
A LITTLE LEGALESE,"$4,000","Leading questions may be used when dealing with an adverse witness, also called this type of witness",hostile,Non-Fiction
CAPITAL IDEAS,$800,The U.K. helped fund the design of this capital after Belize City was destroyed by a hurricane,Belmopan,Non-Fiction
BITS & PIECES,$600,"Seeing these new guests at the National Zoo, Clinton said he could be like them: sleep 20 hrs. a day & eat 4 hrs.",giant pandas,Non-Fiction
FAMOUS PAIRS,$1200,The Bad Boys of Magic: Penn &  ______,Teller,Non-Fiction
GEORGIE,$200,"Born in New Haven, Connecticut in 1946, he grew up to be president of the United States",George W. Bush,Non-Fiction
THAT'S HISTORY,$400,"When the Tuscaroras joined, the Iroquois League updated its name to this",League of Six Nations,Non-Fiction
FOR PETE'S SAKE,$500,"World Book says it, flat out: this man ""was the greatest Flemish painter of the 1600s""",(Peter Paul) Rubens,Non-Fiction
___ OF ___,$200,Edith Wharton won a Pulitzer Prize for this novel,The Age of Innocence,Fiction
CITY OF THE DAY: RALEIGH,$200,"Because of its fine museums, Raleigh has been dubbed this D.C. institution ""of the South""",the Smithsonian,Non-Fiction
GETTING MALL-ED,$400,In 1986 ThisCompanyKids opened its first store; in 1990 BabyThisCompany was born,The Gap,Non-Fiction
THE ELEMENTS,$100,"This metal, Al, used in beverage cans & food wrap was once considered a precious metals",aluminum,Science/Geography
WEIGHTS & MEASURES,$400,"Hold your breath!  If you traveled 20,000 leagues under the sea, you'd go 60,000 of these",miles,Science/Geography
WOOD,$600,"This tree's name has passed into the names of honors, like a poet's post or a degree",Laurel,Non-Fiction
"NOTHING ""BUT""",$1200,He was Secretary of Agriculture under Nixon & Ford,Earl Butz,Non-Fiction
"A CATEGORY WITH ""FIN""s",$800,"It's the ""F"" in a corporation's CFO",financial,Non-Fiction
GRAVE MATTERS,$400,In 1840 his body was moved from St. Helena to Paris & entombed in the Church of the Dome,Napoleon,Non-Fiction
TRANSLATION,$200,"English readers & Disney viewers know Hugo's ""Notre-Dame de Paris"" by this title","""The Hunchback of Notre Dame""",Fiction
GREAT THINGS,$200,The Great Smokies are part of this larger system,the Appalachians,Science/Geography
AMERICAN HISTORY,$200,"After General Cornwallis Surrendered at Yorktown, this American traitor accompanied him back to England",Benedict Arnold,Non-Fiction
THE REEL WORLD,$300,"The L.A. Times said this 2000 Nick Park animated film was ""Poultry in Motion""",Chicken Run,Fiction
AUTHOR! AUTHOR!,$1000,"""Looking Backward""",Edward Bellamy,Non-Fiction
MILK,$2000,Milk is forced through small openings at high pressure to evenly distribute the cream in this process,homogenization,Science/Geography
IT TAKES A THIEF,$200,What a thief called a “dip” dips into,pocket,Non-Fiction
THE AMERICAN FLAG,$600,"According to the Pledge of Allegiance, the American flag stands for this type of government",Republic,Non-Fiction
"PASS THE ""P""s",$1200,"It's a British word for a fistfight; in Hollywood, it's to add jokes to a comedy script",a punch-up,Non-Fiction
SHAKEN-UP SHAKESPEARE,$2000,"Yee-haw!  Colonel John Falstaff goes a-wooing in ""Lone Star Love"", a musical that moves this comedy to Texas",The Merry Wives of Windsor,Fiction
THIS & THAT,$1600,"In German, it means ""until we see each other again""",auf wiedersehen,Non-Fiction
LEFTOVERS,$200,"A notebook newly brought to light shows this Procter partner's ""Eureka!"" moment in making Ivory soap float",Gamble,Non-Fiction
THE REPLACEMENTS,$200,"A piece that makes it to your foe's deepest row in checkers can be replaced with one of these ""royal"" ones",a king,Sports
ON THE WEB,$1200,"Looking for old high school friends?  Try this site, ""The World's Best Place to Reunite""",Classmates.com,Non-Fiction
ASTRONOMERS,$400,Oh my heavens!  In 1706 Danish astronomer Olaus Roemer published a new catalog listing these,stars,Science/Geography
BORN IN 1909,$400,"Barry Goldwater, in Arizona, which still had this status",a territory,Non-Fiction
"""A"" PLUS",$100,To improvise a speech or performance on the spot,Ad-lib,Non-Fiction
RUSSIAN FOOD & DRINK,$600,"Named for a former Soviet city, this butter-filled fried chicken dish is often served in Russian cuisine",chicken Kiev,Non-Fiction
WORLD WAR I,$700,"Later a marshal, on April 14, 1918 he was named commander of all Allied forces in France",Marshal Ferdinand Foch,Non-Fiction
BEASTLY MOVIE TITLES,$200,This 1990 film is one of the few kids' pictures about sewer-dwelling reptiles,Teenage Mutant Ninja Turtles,Fiction
"EAT IT, SPEND IT, OR WEAR IT",$800,Birr,spend it,Non-Fiction
"""O"" BABY!",$1200,Examples of this exotic flower include Snakemouth & Lady's Slipper,orchid,Science/Geography
PAUL REVERE,$400,Boston's Museum of Fine Arts has an impressive collection of Revere's work in this metal,silver,Non-Fiction
"LET IT SNOW, LET IT SNOW, LET IT SNOW",$400,The National Weather Service defines this as snowy winds of 35 mph with 1/4 mile visibility lasting for 3 hours,a blizzard,Science/Geography
"THERE'S AN ""A""",$1000,Krishna is the eighth & best-known of these incarnations of Vishnu,Avatars,Fiction
AROUND THE WORLD,$400,"This Scandinavian country is quite flat: its highest point, Yding Skovhoj, is just 568 feet high",Denmark,Non-Fiction
DESCRIBING THE PRESIDENT,$400,"Had a Springfield in his step, look him up at his Gettysburg Address, enjoyed the theater a bit too much",Abraham Lincoln,Non-Fiction
WORLD FACTS,$600,"The lowest river in the world, it's revered by Jews, Christians & Muslims alike",The River Jordan,Science/Geography
"PASS THE ""P""s",$2000,"The unscheduled temporary replacement of a TV show, often by a newsworthy event",preemption,Non-Fiction
WRITERS,"$2,200","Richard Wright wrote ""Native Son""; this fellow African-American author wrote ""Notes of a Native Son""",James Baldwin,Non-Fiction
PASTIMES,$1000,This basic knitting stitch is drawn through the back of the preceding loop,purl,Non-Fiction
CHAD IS RAD,$1600,It's the country directly north of Chad,Libya,Non-Fiction
TRAVEL U.S.A.,$100,Wicker furniture maker Harry Shill built the rolling chairs used on this city's Boardwalk,Atlantic City,Non-Fiction
A KATE-GORY,$500,"Celebrity birthdays for January 16 include Marilyn Horne, A.J. Foyt & this waif supermodel",Kate Moss,Non-Fiction
BEAR WITH ME,$400,Customers at the saloon of this frontier judge would buy sarsaparilla for his bear Bruno,Judge Roy Bean,Non-Fiction
"5 ""CC""s",$600,"When Native Americans put on the old soft shoes, they are often these, made of soft leather or deerskin",moccasins,Non-Fiction
"""F"" IN ANATOMY",$1600,The security of the ankle joint depends largely on this seemingly delicate bone,the fibula,Science/Geography
RHYME TIME FOOD & DRINK,$1200,A malt beverage like O'Doul's with little or no alcohol,near beer,Non-Fiction
PRESIDENTS & FIRST LADIES,$200,In 1805 an agricultural society gave this U.S. president a gold medal for one of his inventions,Thomas Jefferson,Non-Fiction
CLASS FIELD TRIP,$1200,A class field trip to an aviary means you're going to an enclosure where these are kept,birds,Non-Fiction
"""GOOD"", ""BAD"" & ""UGLY"" MOVIES",$800,"Robert De Niro, Joe Pesci & Ray Liotta--need I say more?",Goodfellas,Fiction
"FISH, BIRD OR MAMMAL",$1000,The margay,a mammal,Science/Geography
POLITICIANS MAKE ME CUSS,$400,"""For the love of"" Wyoming senator Enzi!",Mike,Non-Fiction
HORSES,$200,This spotted breed originated in the Palouse River region of Washington & Idaho,Appaloosa,Science/Geography
"I'M JUST A ""BILL""",$800,The top of this recreation item is called the bed & may be 800 pounds of slate,a billiard table,Sports
SPORTS NICKNAMES,$200,Broadway Joe,Joe Namath,Sports
"IT'S A ""BUST""!",$400,Last-ditch Senate maneuver,a filibuster,Non-Fiction
ONCE UPON A NOVEMBER,$1200,"This pair saw the Pacific Ocean for the first time at the mouth of the Columbia River on Nov. 7, 1805",Lewis & Clark,Non-Fiction
CLOTHING,$400,Low necklines & high waists were features of the Empire Style popularized c. 1805 by this French empress,Josephine,Non-Fiction
CURRENT TV THEMES,$1000,"This group features Les Claypool performing the theme for ""South Park""",Primus,Fiction
"""HY"" SCIENCE",$400,It's the main branch of engineering that studies the mechanical properties of fluids,hydraulic engineering,Science/Geography
WORKING WITHOUT ANNETTE,$600,"With Annette nowhere in sight, Frankie Avalon played a 39-year-old teen angel in this 1978 musical film",Grease,Fiction
THE DENVER MINT,$400,"(<a href=""http://www.j-archive.com/media/2007-07-05_DJ_26.jpg"" target=""_blank"">Kelly of the Clue Crew reports from the Denver Mint.</a>) Production of quarters starts with coils of metal fed into a press; it's mainly this metal, that's more associated with pennies",copper,Science/Geography
AMERICAN FACES,$2000,"Known to many a slender fellow, he's the big guy <a href=""http://www.j-archive.com/media/2007-04-03_DJ_05.jpg"" target=""_blank"">seen</a> <a href=""http://www.j-archive.com/media/2007-04-03_DJ_05a.jpg"" target=""_blank"">here</a> as he looked in those magazine ads",Charles Atlas,Non-Fiction
SHOP 'TIL YOU DROP,$1200,"This electronics store wants to be female-friendly & now has Magnolia Stores, which have a living room feel",Best Buy,Non-Fiction
"""O""PERA",$1600,Titania & Puck play a part in the Carl Maria Von Weber opera named for this king of the fairies,Oberon,Fiction
E_____E,$200,"When it comes to this flat container, you can stuff it, lick it, or ""push"" it",an envelope,Non-Fiction
COLONIAL NAMES FOR COUNTRIES,$400,Dutch East Indies,Indonesia,Non-Fiction
CHICAGO,$100,"Some attribute this nickname of the city to its proud, boasting citizens, not its breeziness","""The Windy City""",Non-Fiction
COLLEGE MOVIES,$400,"Disillusioned with their lives, Luke Wilson & Will Ferrell start their own frat in this film",Old School,Fiction
"NEXT STOP, VENUS",$1000,"Similar to an eclipse, it's the term for the rare passing in front of the sun that Venus did on June 8, 2004",a transit,Science/Geography
POETRY,$600,"William Blake asked, ""Little"" this ""who made thee?"" & ""gave the clothing of delight...wooly, bright""",lamb,Fiction
BEHIND THE MUSIC,$2000,"<a href=""http://www.j-archive.com/media/2002-02-25_DJ_10.mp3"">One of the most poignant BTM episodes reunited this teen idol with his paralyzed friend Roland Winkler</a>",Leif Garrett,Non-Fiction
"YOU'VE MET YOUR ""MATCH""",$800,Beyond comparison,matchless,Non-Fiction
ENTOMBMENT,$200,Trinity Church in NYC was where this Treasury Sec. worshipped & where he was buried after the duel,Alexander Hamilton,Non-Fiction
FANTASTIC MR. FOX,$400,"When Mr. & Mrs. Fox start a family, the babies are called pups, kits or this, like a bear's",cubs,Fiction
"""Y"" IS THE ONLY VOWEL",$200,British clergyman Charles Wesley was a notable Methodist writer of these,hymns,Non-Fiction
POETS & POETRY,$600,"""Seldom does a first book contain so few unsuccessful things"", said Amy Lowell of his ""Chicago Poems""",Sandburg,Non-Fiction
"CROSSWORD CLUES ""S""",$400,"City by the bay (3, 9)",San Francisco,Science/Geography
RELIGION,$400,This synagogue ceremony marking manhood dates to the Middle Ages,Bar Mitzvah,Non-Fiction
SONGS EVERYBODY KNOWS,$1000,"This Italian classic whose title translates as ""O My Sun!"" dates from 1898","""'O Sole Mio""",Fiction
SCIENCE FICTION,$200,The central character in this 1953 novel by Ray Bradbury is third-generation fireman Guy Montag,Fahrenheit 451,Fiction
TAKE A POWDER,$600,"Seidlitz Powder, taken for cathartic effect, includes this element's bicarbonate",sodium,Science/Geography
SPORTS,$200,"In 1988 after 8 seasons as the NHL's MVP, this center was traded by Edmonton to the L.A. Kings",Wayne Gretzky,Sports
VICE-PRESIDENTS,$100,"Some unkindly called this vice president & successor ""Nixon's revenge""",Ford,Non-Fiction
MILITARY SCIENCE,$600,The bugle call that starts the day or the morning ceremony with the flag raising,Reveille,Non-Fiction
THE STAMP ACT,$800,"The <a href=""http://www.j-archive.com/media/2008-02-20_DJ_02.jpg"" target=""_blank"">Pollination</a> stamps show a butterfly, a bat, bees & this small nectar-sipping bird",a hummingbird,Science/Geography
PETER,$800,"In an HBO biopic John Lithgow played Blake Edwards, & Geoffrey Rush, this late actor",Peter Sellers,Fiction
NOTABLES RHYME TIME,$600,Explorer Ericson's undies,Leif's briefs,Non-Fiction
ACCOUNTING EXAM,$300,The process of a firm selling parts of itself is: A. divestiture B. expenditure C. not really sure,Divestiture,Non-Fiction
PASSING TIME ON CAMPUS,$1200,"Raise some of these animals, like the Rhode Island Red or the Cornish, in the quad",chickens,Science/Geography
BROADWAY,$600,"In April 2000 Sir Derek Jacobi returned to Broadway in a new production of this playwright's ""Uncle Vanya""",Anton Chekhov,Non-Fiction
"OOO, SORRY",$800,You're 20 years late--Lagos was replaced in 1991 as the capital of this country,Nigeria,Non-Fiction
REDHEADS,$200,This redheaded Aussie wife of Tom Cruise was actually born in Hawaii,Nicole Kidman,Non-Fiction
DANGEROUS PLANET,$800,"Almost 200,000 buildings were damaged or destroyed when one of these hit Kobe, Japan in 1995",an earthquake,Non-Fiction
CHAPTER ONE,$300,"""Nobody tells fibs in Boston"", says Mrs. Luna in chapter one of his 1880s novel ""The Bostonians""",Henry James,Non-Fiction
LET'S GET TOGETHER,$1000,This island in the Indian Ocean shares its name with a type of get-together,Reunion Island,Science/Geography
SPORTSWOMEN,None,"Referring to a 1999 incident, her autobiography is titled ""It's Not About the Bra""",Brandi Chastain,Non-Fiction
MAY,$300,"This institution was formally dedicated May 1, 1847 in Washington, D.C.",Smithsonian Institution,Non-Fiction
LYRICS OF NO.1 HITS,$2000,"1982: ""Oh-oh here she comes, watch out boy, she'll chew you up, oh-oh here she comes, she's a...""","""a maneater""",Fiction
IN THE MIDDLE OF THE STATE,$800,"The General Assembly legislates this state's ""law""",Delaware,Non-Fiction
FUN WITH OPERA,$800,"Of all the operas we know, this 1893 work based on a Grimm role has the most gingerbread in it",Hansel and Gretel,Fiction
TOP 40 COMMENCEMENT ADDRESSES?,$400,"""The past is gone; it went by like dusk to dawn... Dream on, dream on, dream yourself a dream come true""",Aerosmith,Non-Fiction
MOVIE TITLE TRANSLATIONS,$600,"In France, Billy Crystal learned all about ""life, love and cows"" in this film",City Slickers,Fiction
COMMENCEMENT SPEECHES,$1600,"Speaking at the Boston College Law School, this Fed head praised J.K. Rowling & quoted John Lennon",Bernanke,Non-Fiction
AMERICAN BUSINESS,$200,"Johnson & Johnson has been ""stuck on"" this product for 85 years",Band-Aids,Non-Fiction
BOOKS ABOUT TV SHOWS,$900,Colin Dexter & Dick Francis contributed to a book about this PBS anthology series,Mystery!,Non-Fiction
AMERICAN LIT,$200,"In 1876 we saw ""The Adventures Of"" this character; in 1894 he went ""Abroad"" & in 1896 became a ""Detective""",Tom Sawyer,Fiction
ACTORS & THEIR ROLES,$200,"Tom Hanks got the starring role in this ""huge"" film after Robert De Niro turned it down","""Big""",Fiction
BIBLE BOOK BINDINGS,$400,Hey ___ Law,Jude,Fiction
NATIVE AMERICAN FOODS,$1600,"(<a href=""http://www.j-archive.com/media/2011-11-28_DJ_18.jpg"" target=""_blank"">Sarah of the Clue Crew presents the clue.</a>)  Native Americans traditionally prepared <a href=""http://www.j-archive.com/media/2011-11-28_DJ_18a.jpg"" target=""_blank"">salmon</a> by splitting them & placing them on planks of this evergreen conifer",cedar,Non-Fiction
CANALS,$400,The city of Balboa is the Pacific terminus of this 51-mile-long canal,the Panama Canal,Non-Fiction
DESPERATE MEASURES,$400,There are 192 of these in 12 pounds,Ounces,Science/Geography
"WALK INTO A ""BAR""",$400,"It's been said life is this, old chum, a restaurant with music & often a floor show",a cabaret,Non-Fiction
COLLEGES & UNIVERSITIES,$2000,Martha Stewart & Anna Quindlen are graduates of this women's college that's affiliated with Columbia,Barnard,Non-Fiction
BOOKS & AUTHORS,$800,"Perhaps the effort killed him--he died not long after completing his masterpiece ""The Brothers Karamazov""",Dostoyevsky,Non-Fiction
1998 QUOTATIONS,$100,"Concerning a failed Windows 98 demonstration, he said, ""I guess we still have some bugs to work out""",Bill Gates,Non-Fiction
9-LETTER WORDS,$400,Impossible to read because of poor handwriting,illegible,Non-Fiction
GAP,$200,Feel like a swim?  The gap between Florida & this island nation of 11 million is about 90 miles,Cuba,Non-Fiction
NEW TESTAMENT QUOTES,$200,"In Luke, Elisabeth told her, ""Blessed art thou amoung women, and blessed is the fruit of thy womb""",Mary,Fiction
THE SCIENCE OF SOUND,$800,"""Wood"" you like to name this, the quality of voiced speech sound that lets the ear identify it",timbre,Science/Geography
DOWN SOUTH,$800,In 2004 this hyphenated North Carolina city was named one of the most livable cities in America,Winston-Salem,Non-Fiction
1991 FILMS,$400,"""Once Around"" re-teamed Holly Hunter & this actor, her co-star from ""Always""",Richard Dreyfuss,Non-Fiction
"YOU JUST HAVE TO ""ASK""",$1000,Gordie Howe got his first pair of skates growing up in this Canadian city,Saskatoon,Non-Fiction
SCIENTISTS,$600,Daniel Webster represented this vulcanization inventor in a patent infringement trial,Charles Goodyear,Science/Geography
PREHISTORIC TIMES,$2000,"The name of this earliest human species is Latin for ""skillful human being""",Homo habilis,Science/Geography
DOUBLE TALK,$600,A soft sound separate from normal heart action; it may indicate a serious problem,a murmur,Science/Geography
SINGERS,None,"Artist who released the 1991 double album ""Who'll Buy My Memories:  The I.R.S. Tapes""",Willie Nelson,Non-Fiction
SOUND TECHNOLOGY,$200,"<a href=""http://www.j-archive.com/media/2005-07-21_J_22.mp3"">This</a> computer device slowly takes you online",a modem,Non-Fiction
NAME THAT CENTURY,$2000,The Manchu Dynasty is overthrown in China,the 20th century,Non-Fiction
"""C"" HERE",$100,"Fear, Horn & Cod are 3 of these",capes,Non-Fiction
A DAY AT THE MUSEUM,$800,"(<a href=""http://www.j-archive.com/media/2009-02-11_DJ_12.jpg"" target=""_blank"">Sarah of the Clue Crew reports from Bilbao, Spain.</a>) What ""The New York Times"" called ""the miracle in Bilbao"", <a href=""http://www.j-archive.com/media/2009-02-11_DJ_12a.jpg"" target=""_blank"">this</a> building was made possible by computer design & a 1/10th-inch thick <a href=""http://www.j-archive.com/media/2009-02-11_DJ_12b.jpg"" target=""_blank"">skin</a> made of this material used on spacecraft",titanium,Non-Fiction
COUNTRY SINGERS,$400,"Sinead O'Connor, famed for her shaved head",Ireland,Non-Fiction
"""S"" TOUGH",$2000,"The 2 last names of R.L. & M.L., who formed a company in 1924 to publish a book of crosswords",Simon and Schuster,Non-Fiction
WALK WITH ME,$200,"A move you might have learned in preschool is called this squatting ""walk"", after a bird",a duckwalk,Non-Fiction
WHERE THEY PLAY,$2000,Kurt Warner,TWA Dome/Edward Jones Dome,Non-Fiction
WORLD LITERATURE,$600,"Rohan, or Riddermark, is an important realm of Middle-Earth in books by this author",Tolkien,Non-Fiction
18 YEARS OF LEFTOVERS,$400,"From Season 14: 21-year-old Frances Folsom married 49-year-old Grover Cleveland in this ""colorful"" room",the Blue Room,Non-Fiction
THE NEW YORK TIMES SCIENCE TIMES,$800,"A Times headline said Beelzebufo ampinga, at 10 pounds the largest of these ever, ""hopped with dinosaurs""",a frog,Science/Geography
FORMERLY KNOWN AS,"$1,600","...as Longacre Square, before a major metropolitian newspaper moved in",Times Square,Non-Fiction
COSMETICS & PERFUME,$500,"Guerlain perfume named for the ""Garden of Love"" built by a Mogul emperor",Shalimar,Non-Fiction
THEY GOT STRUCK,$1600,By Colombian banana plantation workers in 1928,the United Fruit Company,Non-Fiction
NATHANIEL HAWTHORNE,$1200,"When his friend Franklin Pierce became president, Hawthorne was made a diplomat to this ""fab"" British city",Liverpool,Non-Fiction
WORLD CAPITALS,$100,"This capital of Cuba has a colonial museum & not surprisingly, a Museum of the Revolution",Havana,Non-Fiction
ACTOR-DIRECTORS,$1000,"This bald director who appeared in ""Stalag 17"" was the father of Gypsy Rose Lee's son Eric",Otto Preminger,Non-Fiction
THE NATIONAL INVENTORS HALL OF FAME,$200,For his revolver with interchangeable parts,Colt,Non-Fiction
THE BRIT PIC,$1200,"Early 19th-century bestselling author depicted <a href=""http://www.j-archive.com/media/2006-05-03_DJ_13.jpg"" target=""_blank"">here</a>",Jane Austen,Non-Fiction
"THE ""BYRD""s & THE ""BEA""s",$800,"This admiral led a third Antarctic expedition, discovering Thurston island in 1939",Richard Byrd,Non-Fiction
AMERICAN POETRY,$1200,"In ""the courtship of Miles Standish"", Longfellow wrote, ""youngest of all was he of the men who came in"" this ship",the Mayflower,Non-Fiction
